# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-ME
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=10)
"IP-ME";"Cons.OpeVeh";"Cap.IntPro";"ExrateJPY";"Unum.Total";"Cap.MacEqu";"PIMP";"IP.Man";"IP.MP";"Emp.HoursPt";"EXrateKRW"
-2.02943104;8.306329576;1.72509663;15.25548045;-1.812945498;23.64446924;22.28835267;-1.175895016;-15.08189961;2.357685376;14.48705909
-6.150813148;9.745135963;10.8199938;12.42966725;-6.148750652;10.89423554;5.230932749;-7.128901563;-7.75970018;-0.087424857;4.854504847
-19.04114111;-0.321041619;10.81466026;19.30041437;-0.866591012;7.684065614;13.1988226;11.42372076;33.07046767;1.144468705;8.640067497
35.63431434;-4.233223367;15.58074874;-32.9366193;19.90615536;24.69484471;-8.059692627;4.633256436;-11.71172408;3.839174798;-2.673646076
-14.94368636;-1.553821006;10.04533128;-2.723923677;-0.565156012;0.097734992;-5.178087786;-3.857310509;20.9813011;3.217278333;3.609585616
26.27810371;0.723458327;-2.235009923;21.5417953;0.869140415;2.765750903;16.5049144;1.161103863;-14.35131507;-1.456186134;11.90729655
-6.605298224;-4.689470715;10.96671605;-19.41421911;-1.130251233;7.194230955;-13.98782599;-15.36377925;-20.61346005;-1.453744151;-9.860024281
3.898666341;0.840144595;1.79181187;4.844349868;10.97076681;-4.274015891;13.67777927;6.769698666;6.485597494;-2.30596504;2.894123554
-5.075714763;2.147118834;6.334591846;22.09468097;6.803313608;-14.07988496;-5.557241163;-2.773661436;-21.37468169;-1.01236748;-17.6898032
-18.08444597;-2.841024509;-6.292027334;42.84409729;14.23463088;-32.22005191;4.391727357;-3.193629739;-11.74767978;8.548189308;4.416503583
2.05023514;0;5.705025132;4.279448765;13.16259269;-1.756147974;-13.35645553;-6.057662466;-2.060797964;3.289809079;-13.77994937
-5.76735017;0.365363562;-0.882121649;-32.88933554;3.117980415;-6.417659908;-27.45588127;1.624367715;30.23307247;2.149937562;-35.904072
-2.497406656;0.109544024;-5.291362413;18.7568594;7.529364274;-25.45640276;3.159686992;2.021227141;-2.305481887;8.888657188;-13.82479023
-11.86527673;-1.829661959;7.22109872;-6.909380472;9.540295103;21.61821917;-10.36377166;-11.03800238;-22.59144166;0.244500585;-2.8905921
-13.56062067;-1.285761313;19.44033036;13.81366536;4.229146705;-11.19001513;14.3868142;6.577743291;12.44455611;1.850586962;-3.107149501
6.181138449;0.183933419;-21.11783335;4.768600815;19.03760764;12.05849147;-0.57599516;-3.686662042;-5.572229414;2.056818299;-4.756632778
1.312193632;0.257364777;5.55071769;9.451199848;0.940685043;2.439437621;-16.45655773;0;-10.97072321;4.704653144;-8.299933043
