# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrNSWT-bond
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"10yrNSWT-bond";"HCE.OthMot";"Cons.Final";"HCE.MV";"IP.Man";"Emp.TotalPer";"Cons.EGF";"Cons.RecCul";"Gov.Nat";"RetSales";"Emp.PtPer";"Currency";"Gov.NatLoc";"IP.ME";"LabForce";"X10yrT.bond"
-0.163333333;2.75949472;5.404922828;1.433818682;-0.393894665;3.695135622;-14.03377645;6.402884254;-2.3948641;1.406368776;2.834636879;-6.957066334;1.484756455;8.565637802;3.517061409;-0.166666667
-0.113333333;-7.219612027;2.754253805;2.995872842;3.14034979;2.476838178;15.34134419;2.885647991;-2.904792314;5.035899958;5.576832623;2.759261256;4.74706691;13.33456811;2.098297341;-0.1
0.186666666;4.984249288;2.154680085;-3.433448094;-7.897591196;0.869583064;2.449768423;0.941205297;2.668455527;2.36834211;2.206340022;-0.846369724;7.119388467;-11.22151512;1.160275072;0.196666667
-0.12;1.075366505;3.423062252;10.26793767;0.398604916;1.766881246;-0.534606285;8.585043978;-0.532268874;7.393433363;0.317534502;4.564841686;5.848786551;-12.8490705;1.783562197;-0.126666667
0.416666667;0.504325252;4.806048562;-9.492306665;4.752531155;3.440398349;7.495251004;4.014235985;11.2042336;9.24717565;4.636132346;-0.941438688;6.285452876;-4.816697502;2.642891897;0.42
0.093333333;1.554317332;3.701804759;7.205458562;0.393507164;4.302171119;-18.18320534;1.86426204;8.389792235;4.91904679;3.404432273;-2.364632468;-8.123810615;4.381204808;3.662471416;0.043333333
-0.08;-2.191092675;5.3097325;-2.2824185;10.48094896;1.872713954;16.15293498;11.00671336;9.796862449;6.358932224;2.103478796;1.377806056;-0.894032144;12.86284465;1.229580006;-0.076666666
0.133333334;2.051939994;8.382409828;-0.003191944;-1.920310937;2.743565205;17.55120247;1.985451648;5.334747592;10.06795054;-1.463508007;-4.423897921;1.94394596;-1.691334444;2.714824754;0.153333333
0.223333333;-2.138413274;3.575477029;-2.256701073;-4.646712468;3.752994004;7.646503504;4.431558309;3.206502197;4.264375987;3.610305215;6.384199611;4.339641405;-3.831854743;2.820446107;0.2
0.213333333;0.987858769;5.469490193;0.751525261;7.332573879;2.910821955;-22.04394456;9.371304118;-1.834288158;10.27094559;5.261281207;-2.270584381;4.083366483;-4.733783059;2.772678081;0.013333333
0.16;1.957472827;5.965596282;-0.000355328;2.667947004;2.688855666;21.76070858;5.399066959;2.300509576;6.505515881;-0.921339972;-1.47615711;5.100780751;1.727864458;3.077722316;0.113333334
0.093333334;-2.579893844;1.83758818;-1.514075875;13.07916611;3.680434396;-0.85091328;4.521991315;5.358216345;1.086091464;6.920488054;-0.404243383;2.174036549;21.80833555;2.486332887;0.016666666
0.136666666;1.432082919;-2.100186002;-0.390118527;5.114224919;2.483491222;1.700020267;-6.543500994;4.693630949;0.62858446;4.119933797;-0.056119214;1.450021877;22.99939682;3.145052268;0.22
-0.313333333;-0.072517131;-1.226324483;-1.165271499;-8.436809782;2.117917947;-4.978727149;-4.182846341;24.65263125;2.877399668;-3.957134571;3.565121155;4.980742757;-16.12011751;1.97393257;-0.413333333
-1.056666667;-1.025257368;-1.097966474;-3.537042044;-22.10085884;0.626024439;3.84618348;6.418810239;-0.871836341;8.439879848;8.194563308;16.8026119;2.074831417;-21.42633699;1.624146463;-1.166666667
-0.3;-0.992996799;0.887543631;12.03966252;-17.62046645;0.082819437;10.14838791;-3.272177981;-9.110797128;9.720221025;3.129627608;-13.85201418;2.190800433;-22.19166093;3.678392413;-0.57
0.696666667;-0.968692956;3.962386861;-3.513059814;3.261995652;-0.348698123;-2.565222415;6.305084437;-4.489575096;7.571974528;4.008117782;-4.40305293;1.001436794;-8.592755526;1.37188921;0.8
0.073333333;11.07228624;0.786528331;-0.389621674;-0.406297648;0.592111732;1.111304761;-2.818567153;2.885892924;-4.148195402;8.478425672;-3.60028023;4.220542108;23.52313857;0.575865179;0.423333334
0.016666667;-9.35560746;4.07393607;0.379276439;17.49781959;2.176713548;-0.346951188;1.881249793;2.512391019;6.613947523;4.066098272;-4.683736164;0.697381095;47.11321426;1.531212494;0.016666666
-0.07;0.40499643;1.351573579;-4.218430335;4.642218448;2.644848222;-5.874231445;2.360390678;6.865977016;0;5.322869507;7.275511679;5.197092314;-35.64137118;1.747266166;0.09
-0.093333333;3.025531858;5.5553161;-0.405941423;-4.253302521;1.236820046;16.01870935;13.71324712;11.61059307;4.985336008;-3.627847626;-2.365758659;0.676940596;24.76691506;0.999302508;-0.016666666
-0.5;-0.998616814;3.512579046;4.254031253;-2.730386028;3.348790152;3.839382849;4.806085718;-0.385387424;4.115120836;2.732081447;-0.313261547;-1.571025367;-11.17837216;2.723259236;-0.496666667
0.316666666;6.618551315;4.254576679;-3.101156114;-1.175895016;3.49205564;1.137980853;7.639138468;10.77805122;-1.308045705;2.919042155;-4.27220778;3.544015809;-2.02943104;3.220689095;0.303333333
0.34;-10.63759836;2.603698419;-0.0094444;-7.128901563;1.634021749;-10.84077191;3.007384202;3.363719892;3.424538835;-1.307296193;5.666590698;3.067873633;-6.150813148;1.242564353;0.18
-0.25;-0.427166269;3.055585571;-1.188898891;11.42372076;-0.253796152;-5.045423265;10.13993529;3.39717916;2.505734297;1.617353478;-0.607818606;4.738188065;-19.04114111;-0.283091943;-0.19
-0.65;1.625387718;1.582090143;-1.217052074;4.633256436;1.348158909;-8.932239289;1.285526949;-1.417130256;3.764582641;2.747773194;0.237882906;5.502259322;35.63431434;2.289557476;-0.763333333
-0.426666666;-0.033737366;1.03424264;1.95910632;-3.857310509;0.908897019;-6.0194615;-1.727781531;5.379906753;2.9812853;0.415534679;6.993908879;0.96549393;-14.94368636;0.831473872;-0.476666667
0.1;-0.033126108;5.179941135;0.790400142;1.161103863;1.68889902;14.25556417;4.990146692;2.00463611;1.305264856;0.554704813;-10.88520539;7.757015649;26.27810371;1.646586644;-0.12
-0.47;10.16409925;1.688684422;3.609833325;-15.36377925;1.333770754;-1.885642951;1.990101004;9.298391783;7.551000129;3.818095389;9.530383746;2.242411888;-6.605298224;1.208188205;-0.593333333
-0.41;-10.31777585;1.745011868;-6.025151071;6.769698666;0.831940701;-18.40804624;3.538680083;-17.90383775;2.543227038;-0.24102452;-2.796770596;-2.271366273;3.898666341;1.359173884;-0.323333333
-0.083333334;1.868595504;1.224275362;2.806172863;-2.773661436;1.223611719;-2.057693312;-9.097762467;1.483142559;-0.228291077;-0.593301733;-2.401109828;-3.334079539;-5.075714763;1.516368419;0.056666666
0.303333334;0.303345691;1.210988774;-4.089532838;-3.193629739;1.816778289;-4.817995802;2.312973877;4.980621022;4.760865294;7.47032932;2.701999707;3.604238992;-18.08444597;2.488517448;0.356666667
-0.063333334;-1.924343596;1.359660155;2.004506544;-6.057662466;0.436617076;3.267749328;-4.793691426;-2.26041075;1.758672695;2.505756913;-1.112531772;2.614953914;2.05023514;1.144612461;-0.13
0.493333334;-1.871625735;3.215747092;-0.027434725;1.624367715;0.231504947;0.147901647;1.348034592;11.66765109;4.233994097;1.429791091;3.519056887;-0.920974145;-5.76735017;0.395070432;0.53
0.133333333;4.004322546;2.327372415;3.743741262;2.021227141;0.048843173;7.689023939;3.902843283;2.018032993;8.147526843;4.365523099;-4.231308102;3.185590874;-2.497406656;0.477952536;0.243333333
-0.173333333;-2.236801649;2.168280707;0.832031548;-11.03800238;1.366351782;-4.889233543;-0.323786414;4.445144362;7.291807886;2.813575176;2.252934514;-0.266882724;-11.86527673;1.843963353;0.02
-0.333333334;-1.103300639;2.49262585;-2.498700626;6.577743291;1.152598482;-11.24317851;6.670127868;-3.927440675;1.28123847;-1.707778065;-1.972031435;3.389488719;-13.56062067;1.334757259;-0.296666666
-0.34;15.31723439;2.119232318;-0.00391442;-3.686662042;1.10204181;13.07451584;3.581779366;1.872918053;5.249261294;2.575907606;0.368969919;3.314129821;6.181138449;2.189523312;-0.36
-0.313333333;-15.441296;3.21746141;-0.84427547;0;1.316157987;3.782534097;8.79842613;-1.223039762;5.181265955;2.180866542;1.678434341;3.872337414;1.312193632;1.293977475;-0.296666667
