# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-IntPro
# prediction_type;rolling
# method; Part-GFS_te(n_components=14)
"Cap-IntPro";"IP.TCO";"Emp.JobVac";"Cons.Hea";"Cons.EGF";"HStartsNSW";"IP.ME";"IP.PCCR";"Cap.BioRes";"HCE.ITA";"ResInv";"COMMP";"Imports";"HCE.MV";"ExrateCNY"
9.401663915;14.31792083;10.2;7.648416579;-0.534606285;-5.18926197;-12.8490705;-1.834024304;-10.07046196;27.08358905;-10.29650795;5.15261089;7.786055951;10.26793767;-4.965692381
19.22097159;-6.808675028;9.8;3.902469978;7.495251004;21.03259634;-4.816697502;9.446397229;-13.05298161;-17.27073873;20.81142978;-1.237849037;14.91774835;-9.492306665;8.659859321
24.46891697;-25.70097561;0.8;12.98209129;-18.18320534;6.654941388;4.381204808;-39.20272426;-15.92250016;-3.027268025;-13.13269653;-22.12969152;-4.596514838;7.205458562;-0.610012274
12.04812284;21.38593916;7.2;-15.10599009;16.15293498;-5.544666596;12.86284465;36.68132915;-56.61606889;7.763859097;10.98251051;-9.384680503;20.13368552;-2.2824185;6.744338806
11.82040661;3.742380663;-1.3;15.78894832;17.55120247;-9.439729813;-1.691334444;4.670012632;-14.28723304;-6.886008134;13.68392701;4.255138242;16.91294799;-0.003191944;-1.136908898
26.97380423;39.00874021;7.8;3.566524;7.646503504;11.15458819;-3.831854743;6.025811785;24.44944242;11.87371655;-1.00441092;1.496255172;8.313001869;-2.256701073;17.07255365
24.06485862;-2.084695272;4.7;7.1220985;-22.04394456;-11.92565304;-4.733783059;-12.50660162;63.54538146;-2.724552723;2.185868052;-3.386138438;10.97413963;0.751525261;3.719486356
12.46812131;-21.7430241;10;5.730579848;21.76070858;3.365511268;1.727864458;6.837773344;-15.47044576;-4.19205608;8.550641155;12.79721305;12.37092721;-0.000355328;11.15675251
10.23073672;5.479537743;-5.1;15.6930083;-0.85091328;-8.385197892;21.80833555;7.423986858;-6.524099775;6.749809236;15.46228946;18.627049;18.13184745;-1.514075875;-6.43475989
5.913084091;-6.584510822;6.3;-0.86682461;1.700020267;-74.50635834;22.99939682;-7.067321653;-2.474234693;-3.751340341;7.299254266;31.64971081;19.74533227;-0.390118527;4.525294193
-6.587052237;-14.07604776;-5.933333333;11.04806202;-4.978727149;-25.52610342;-16.12011751;-11.94118526;22.12731012;2.561088115;8.377883914;7.1582662;-0.154014752;-1.165271499;-41.40346989
5.052915864;-20.2760996;-5.933333333;0.575125908;3.84618348;15.60172906;-21.42633699;-35.30574119;-48.63273083;-3.943094342;-6.650428335;-10.07017985;-35.48971924;-3.537042044;-102.9424056
-0.051239352;24.26757962;-5.933333333;-4.546817091;10.14838791;83.49176514;-22.19166093;-29.98281298;-18.54486996;-13.2466607;-13.03171918;-107.797148;-31.21559031;12.03966252;-7.831778565
-3.138077956;-58.22354156;-5.933333333;6.68667699;-2.565222415;27.77577715;-8.592755526;36.35110669;7.339655467;-1.727127117;-18.21672074;-61.48548992;-0.091010125;-3.513059814;65.17388567
