# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;TotComp
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=14)
"TotComp";"Cons.CloFoo";"Cons.RenDwe";"Cons.FurEqu";"Cons.RecCul";"Emp.TotalPer";"Emp.FtPer";"Gov.Nat";"RetSales";"Emp.JobVac";"AveComp";"Credit.Total";"Credit.Nar";"ExrateCNY";"SPASXAllOrds"
7.608143555;17.45731589;2.55239511;2.529430526;4.950800111;0.790036867;-1.232635305;7.917226845;12.65167385;-15.2;6.123684388;1.881512549;1.265881245;-7.824510248;3.404883502
5.620615206;1.724796585;3.018689994;3.41733401;3.641222228;2.633092233;-0.506745222;15.26428507;8.025999997;-5.6;3.708564303;-2.298960182;-3.196217677;-8.932499694;14.24074737
4.15293104;-1.623131824;3.021267425;3.663725605;1.664535052;0.939789645;-2.445041584;0.666609355;4.752275081;-3.8;2.500901323;-1.48795419;-0.294660065;1.097142854;-22.01146794
4.655709227;3.340523021;3.186068461;6.077795121;6.526877485;1.114243798;1.223367646;4.998495902;8.930100905;-1.7;3.086626696;3.448390993;2.569280805;1.390023029;14.32372854
5.400779877;4.71006319;3.309608604;9.576083018;10.69789742;2.352391159;1.237964854;0.97414598;9.114134709;2;3.623754939;-0.623178576;-1.586980764;5.142805136;12.18463149
6.267246067;-0.598205495;3.552727975;15.12798974;14.12830964;1.303037461;0.925457886;6.06310379;7.727651353;5.7;6.909594142;8.010945666;10.28853171;28.79893445;-13.58391814
7.437635691;14.50073064;3.314446201;-0.254939461;8.503808602;2.883104816;2.09520045;2.886816505;5.35755699;6.8;3.56410857;-6.022622092;-6.877241762;-6.615912098;-32.03002218
3.350920417;14.5504942;3.395915003;5.005213006;4.571149758;3.266242469;1.853007999;3.48077319;5.843828576;-5.4;-0.888054331;-4.500419757;-3.802190489;8.648561325;-1.725992724
7.025730928;0.463660652;3.367326943;-2.08317365;-1.145066265;4.019703502;3.375378431;6.00860324;3.636123621;12.1;2.250453468;3.435576665;4.156941847;26.92861979;-19.74646659
7.747998322;8.436809782;3.600405805;8.392354188;8.087963109;-0.526418856;-1.394774033;3.078014489;7.981772078;-5.1;7.745001622;-1.516519289;-2.927982105;31.07329133;17.69132351
4.646179621;0.996941719;3.4977033;3.455745036;11.05524913;0.935692928;2.418770748;4.943859216;10.45903032;-0.5;3.585681382;-1.169445755;-2.141422526;6.208104323;23.2748403
7.122678278;12.73907909;3.444055717;8.390640533;13.75278147;2.335349197;3.73698459;0.465657794;11.45186793;3.4;6.003311109;5.970361235;6.176813572;39.01665163;12.38507252
8.390069736;9.273516851;3.541850085;5.616223703;4.985632636;1.178773097;1.881967735;9.097717869;6.043434326;-3.7;5.336646775;-1.124973583;-2.014755776;21.29383955;11.62013356
6.103763241;7.63705846;3.224152409;4.777056409;7.389436343;2.288383936;1.582089988;2.165344395;4.197735071;23.3;2.881164918;0.085209541;1.543616003;-30.60152453;12.6025415
7.859080782;6.58554002;3.744105871;10.47286264;2.755288654;1.383513824;1.712087653;11.47453503;5.41706176;-2.5;7.708341528;-0.200842081;-0.869600202;-2.040466025;14.65108063
8.681766139;3.621423913;3.270127547;3.977870544;4.449827826;4.718108677;4.105935742;2.510218418;0.077721046;14.6;2.557513586;0.071699786;-0.340629587;34.09708052;35.45877646
6.886312124;15.19322594;2.896936085;1.749068306;6.632741426;4.204963671;4.054684325;5.85534988;2.058419692;7;3.528615315;0.881727139;0.368922264;5.896247165;19.27317488
5.292981632;0.945440661;2.976063218;-3.165199503;6.402884254;3.695135622;4.038531886;-2.3948641;1.406368776;-5.3;0.800431268;-3.239692396;1.470098824;-6.259523734;-3.914345358
9.334960917;8.255744768;3.020218185;-6.694956375;2.885647991;2.476838178;1.241847863;-2.904792314;5.035899958;-1.9;6.830475472;1.379622177;-0.113247186;-14.33563116;34.6956457
5.258091218;1.84580216;2.877236214;-4.409676223;0.941205297;0.869583064;0.334770528;2.668455527;2.36834211;-4.9;3.162071803;1.053821897;0.965186955;-9.354085316;10.41676432
