# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-EGF
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"Cons-EGF";"Cons.OpeVeh";"IP.TCO";"HCE.MV";"IP.MP";"IP.Total";"Gov.Nat";"HStartsTAS";"IP.NMM";"UrateLabForce";"IP.FBT";"HStartsNT";"HCE.UTF"
-18.40804624;0.840144595;-40.95431942;-6.025151071;6.485597494;10.94847872;-17.90383775;23.19229602;24.32360184;4;18.97262834;25.84030804;-0.046250795
-2.057693312;2.147118834;47.65068457;2.806172863;-21.37468169;-0.400200133;1.483142559;-1.575149706;-11.57187932;1.66667;8.371008042;17.53705515;-0.045271914
-4.817995802;-2.841024509;6.586105206;-4.089532838;-11.74767978;0;4.980621022;-17.38235415;13.14204817;33.66666;4.315882969;-9.037890095;0.712535476
3.267749328;0;-6.195670817;2.004506544;-2.060797964;0.800000267;-2.26041075;22.08931629;-18.85060581;-43.66666;-22.88632172;-15.27898838;-1.557123654
0.147901647;0.365363562;19.42313966;-0.027434725;30.23307247;7.128901563;11.66765109;23.8826704;-1.646092858;-28.66667;3.292199655;2.650269951;-1.891527895
7.689023939;0.109544024;14.95842334;3.743741262;-2.305481887;1.175895016;2.018032993;44.01736453;15.76757954;0.33333;14.48850537;-20.12029535;3.329316962
-4.889233543;-1.829661959;-69.43452794;0.832031548;-22.59144166;8.902157454;4.445144362;-19.63308463;2.765443114;51.66667;-11.62989188;26.8557211;-4.457211031
-11.24317851;-1.285761313;21.15578557;-2.498700626;12.44455611;2.290082591;-3.927440675;13.59134146;14.3079536;-12.33333;21.77677743;8.081083;2.935453213
13.07451584;0.183933419;31.8305594;-0.00391442;-5.572229414;5.293082907;1.872918053;-0.297066497;6.406166129;12.33333;-16.12011751;25.70175591;1.059392837
3.782534097;0.257364777;-50.43856565;-0.84427547;-10.97072321;0;-1.223039762;-17.30820291;7.407619107;-27.33334;-0.401404951;-19.56721987;-6.903370712
