# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"EXrateKRW";"HSexfinNum";"ResInv";"Cap.MacEqu";"HStartsNSW";"Cons.PurVeh";"ExrateMYR";"Cons.Edu";"HSexfinVal";"HStartsTotal";"Gov.NatLoc";"HStartsVIC";"EXrateIDR";"ExrateCNY";"M1";"Credit.Per"
-17.29059419;-18.76845451;0.679405684;-1.915406693;-11.89275759;-9.670092213;-6.608467841;0.18076373;-7.64853719;-8.774316222;2.811064117;1.201202331;-4.60223748;-6.615912098;53.13905331;-11.95612799
8.773239337;-8.258128383;10.61727672;57.84787584;-18.2477419;-2.618667291;8.636936694;0.240891305;6.296364249;-4.532272995;3.221119429;-5.307897466;11.631363;8.648561325;12.47475515;-0.869554518
26.60221819;23.2742039;19.85903386;-11.20427047;18.34916886;-4.62432896;26.92380792;4.549585114;30.3273274;23.00940781;2.179155458;22.03885778;19.80018279;26.92861979;-0.022680229;1.756369049
30.72240867;8.884932931;-15.55243791;-2.084304655;3.781194068;19.95878846;31.07669726;4.557273532;31.72016156;11.21865579;5.761955399;-2.503682152;9.202063106;31.07329133;7.573953823;-2.060950254
-5.744917452;9.596070241;17.77928335;22.97308593;24.6632929;28.53998934;6.210094289;3.57380627;27.42767938;20.415218;5.765577639;16.33622315;9.353617947;6.208104323;-10.25103958;4.39532055
47.33510521;-18.1726031;26.9397943;-8.412737542;-12.16405873;1.76185867;39.02809071;2.963622186;-12.33229808;-6.073774779;4.031729084;-5.743645009;39.19980782;39.01665163;2.352245894;-2.508044908
12.45600911;-55.72577671;20.04481657;-3.075765908;-55.32921528;-3.53151205;21.28239161;6.60317873;-45.64696906;-50.810365;3.452808783;-41.38398304;21.7089566;21.29383955;3.156330488;-2.591313356
-32.01135901;-1.697538681;-0.25037383;7.795584681;-18.27557077;-4.398914894;-30.58917872;1.874870274;17.63633732;-10.73997277;-0.755384586;-13.40733472;-2.531328387;-30.60152453;-10.51684137;-1.635390229
-3.493188154;7.435064604;2.96657052;19.3822436;-8.894211613;15.24664194;-2.030977902;-1.078397248;10.40605942;3.422121352;0.683504626;16.97658544;2.920922205;-2.040466025;5.477433288;3.300181752
0.987682993;12.88021547;-2.632773561;31.78711238;2.102537659;3.323325233;34.10406549;0.170466655;15.78957249;8.032095144;2.150799781;4.833193775;30.13184129;34.09708052;4.004585046;4.068348045
-13.60799894;24.7469648;-0.278144786;-9.817039936;29.45542025;14.45737979;5.894704999;4.069556086;31.70438789;28.81384916;3.748100013;33.14102182;13.07055311;5.896247165;-1.60476607;-1.69227159
-8.220067511;-8.27144587;22.16251075;24.01245828;-10.97896757;0.220082537;-6.25601507;2.74607033;-11.79658064;2.846069487;1.484756455;17.00302805;6.242711358;-6.259523734;1.126556497;-2.984409119
3.646788868;7.347956842;-4.101243139;13.95503598;16.73920216;7.951248877;-9.496420926;4.608921679;18.59124864;9.298259176;4.74706691;-9.891308184;17.33238269;-14.33563116;-0.846714285;4.776358998
-11.08368245;21.54928176;-8.684012136;26.6758281;5.918141938;-3.248528954;-6.880995714;2.531654021;22.24731459;13.83689527;7.119388467;20.36848054;-16.33746982;-9.354085316;-2.007915837;-4.62261024
-26.65438629;0.262069914;-10.29650795;2.399652467;-5.18926197;-10.24144038;-9.390408281;-1.53909768;8.665341423;-1.953874647;5.848786551;-9.053430181;-32.3484458;-4.965692381;6.863476506;-2.203460918
0.420994568;17.64860981;20.81142978;-20.09379584;21.03259634;-1.005165962;1.791847232;3.12694454;21.82653457;16.74376204;6.285452876;11.99999999;2.655222538;8.659859321;0.212388855;0.955471473
5.962114686;-1.835091797;-13.13269653;-4.664775899;6.654941388;5.221571162;6.108534611;1.527135752;2.299096065;9.621278128;-8.123810615;20.06783761;4.508452633;-0.610012274;-3.406166923;8.861874194
