# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; ExrateJPY
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=9)
# prediction_type; rolling
ExrateJPY;Hstarts-PDA;Unum-LPT;HStartsSA;UrateLabForce;Cap-BioRes;HStartsTAS;HStartsWA;COMMP;IP-PRM
-27.86233418;-37.3106503;-14.86294519;-27.13646261;-33.0;22.12731012;-45.42638468;-2.232244428;7.1582662;-63.03278025
-153.4718111;-60.17328113;12.04044166;26.18319856;-9.0;-48.63273083;31.54657927;-16.02936913;-10.07017985;-7.896991492000001
-5.0950716410000005;-3.915202545;51.73833456;69.63953911;58.333330000000004;-18.54486996;62.72906501;35.93062942;-107.79714799999999;-73.1740968
71.61440936;31.51235101;-9.602979739;3.93072732;-65.33333;7.339655467;-34.40389265;28.64431242;-61.48548992;44.89714211
18.74786684;53.261013299999995;-4.083710777;-18.04681675;-22.33333;16.03778288;-27.34387803;-5.006899413999999;84.54554655;-39.04694642
16.46117565;24.68649594;2.40722893;-46.7134449;26.666659999999997;-49.1928468;-24.11204679;-7.5806716960000005;22.45316897;25.65657475
-0.750040967;14.68953318;6.900141361;-75.67662982;7.0;10.71927726;-92.06490790000001;-64.15673392;35.37300181;-9.64732378
-7.296136424;2.8742638639999996;0.550044208;-19.69575921;-20.99999;56.82345362;-12.98491046;-47.41646444;51.062191600000006;-10.60132722
-12.40684305;-10.6414983;19.76277851;0.964383985;49.66666;121.9989615;-10.28334268;-3.919550567;-58.87913154;-3.958646795
15.25548045;17.26886875;-3.679049793;-1.096071229;14.66666;-1.54024064;-8.776130904;17.99642547;-41.49805433;1.083522107
12.42966725;-30.22143245;-3.4848706789999997;-7.489278722999999;-56.999990000000004;-0.30876111100000003;28.25912641;-2.5182656580000002;56.64748329;26.85103688
19.30041437;-11.29728503;-17.8948547;-2.018054619;-44.33334;-6.225806616;-5.494363181000001;31.95878168;-15.28329875;-17.93403811
-32.936619300000004;7.226002857;24.68490835;13.52615064;75.33334;-28.94395121;-1.848354442;11.65298301;-15.12933338;6.646414393
-2.7239236769999997;-53.55872907;-14.47225628;-2.179129425;-44.33334;-50.62776606;-15.10260901;17.05121673;-31.39079046;-64.21248477
21.5417953;2.3323682409999997;7.453870402000001;5.9427434120000004;26.333340000000003;-20.0139831;-25.08149534;27.91684136;-4.479354973;-14.93949572
-19.41421911;57.31784911;21.56277182;-13.53092725;-12.66667;7.968390997999999;2.413560333;-2.497787022;33.45120644;14.12400105
4.844349868;-10.20463496;-42.02399582;-4.388758805;4.0;44.03322984;23.19229602;15.62089944;-40.46113822;15.21705018
22.09468097;7.170486406;22.51153699;1.6626434769999998;1.66667;-37.3827099;-1.575149706;-1.039649478;11.3461737;-3.552070703
42.84409729;-13.42061357;20.95260448;20.83781713;33.66666;-18.25713714;-17.38235415;19.86665382;54.65451707;-8.008275492000001
4.279448765;34.19165795;-13.96978989;33.46500417;-43.66666;-3.6716219039999998;22.08931629;30.07149086;-31.27225158;-2.027373828
-32.88933554;46.36284557;14.97481561;5.018788788;-28.66667;-20.60360834;23.8826704;-6.131793837999999;17.0301058;-3.675370422
18.7568594;19.27074223;-1.940530263;-0.232041;0.33333;-24.00720389;44.01736453;2.0719066390000003;-18.12831768;-0.41046694200000006
-6.9093804720000005;0.81716057;15.82127121;-8.128454855;51.66667;-24.07806431;-19.63308463;-6.479518444;7.148116308;-8.299052878
13.81366536;-9.917863447;6.389143995;7.625237021;-12.33333;-3.420912726;13.59134146;-19.45733285;-49.97606163;-33.66267163
4.768600815;14.7860777;41.27770364;-5.028080823;12.33333;14.45940565;-0.297066497;-3.358920082;22.04420941;-15.34179911
9.451199848;35.47603004;14.30988007;5.492611988999999;-27.333340000000003;-19.39773998;-17.30820291;2.4984231130000003;20.69719885;34.0534511
