# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-Man
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-Man";"HStartsACT";"HStartsVIC";"IP.MP";"Cons.CloFoo";"BusInv";"Unum.LPT";"Cons.InsFin";"COMMP";"IP.WPP";"Unum.LFT"
-1.920310937;14.87742433;0.096669632;-9.658416922;3.212307767;31.02388144;22.52921937;12.32039729;4.255138242;-15.46543713;-6.176536619
-4.646712468;11.5159469;13.75678849;-20.04594805;2.150356345;15.14977146;-9.554077567;10.49187324;1.496255172;4.480046832;-20.7999757
7.332573879;-0.448346768;-6.03156543;24.90430737;11.7254476;10.5084701;22.62861006;13.90565412;-3.386138438;14.99004447;-10.75702065
2.667947004;-13.99914651;17.53824998;24.20250304;4.409598691;0.563464546;17.6996994;1.674472288;12.79721305;-39.59804872;8.908683433
13.07916611;-9.877045036;4.520535801;26.02841991;5.870333739;17.28112484;-20.81671404;-3.444680411;18.627049;11.34354582;-26.59563929
5.114224919;-3.827780406;-71.8712981;5.638859902;-12.23296266;12.44432197;6.825650476;-3.45223335;31.64971081;-6.968239264;24.03496968
-8.436809782;-23.0896739;-32.23369674;2.094245622;7.092858979;6.870929926;-14.86294519;-11.25173426;7.1582662;13.49366946;4.859526422
-22.10085884;30.39436279;5.353068055;-27.00080111;0.861283977;2.282393383;12.04044166;-8.722036412;-10.07017985;-41.56928701;28.89399344
-17.62046645;68.39211083;45.41883019;-22.60055344;11.09550662;-6.343580298;51.73833456;-7.764006917;-107.797148;-19.49811275;83.48867989
3.261995652;28.53327627;22.4262802;-0.39428293;16.27214751;-3.435938309;-9.602979739;1.698617942;-61.48548992;12.61700145;46.0196691
-0.406297648;-42.15792826;0.135678443;-23.14191708;-4.599895292;-26.57343759;-4.083710777;0.501028964;84.54554655;-3.66975051;1.868905447
17.49781959;-29.75931604;-20.01733629;9.499672085;0.187514653;13.10963923;2.40722893;-1.91204953;22.45316897;28.79964037;-13.4679714
4.642218448;-54.55450866;-33.77052602;31.01110957;7.858555801;-18.70138975;6.900141361;9.39994128;35.37300181;30.05953667;-21.43630024
-4.253302521;-51.07174615;-16.90097334;5.253358812;2.565285934;11.35717632;0.550044208;-6.392587774;51.0621916;-48.66754293;-4.755511182
-2.730386028;-2.510266544;8.126406254;2.971230003;7.359580251;10.46603698;19.76277851;-0.76163298;-58.87913154;7.476853205;-20.21306194
-1.175895016;21.12702237;15.58848035;-15.08189961;-2.458225529;10.02453968;-3.679049793;6.052840404;-41.49805433;-15.09613119;-1.020408748
-7.128901563;-14.59469656;-11.16032848;-7.75970018;-7.160385377;19.13632431;-3.484870679;4.665864172;56.64748329;-3.679878759;-7.281715352
11.42372076;17.15880787;8.602243785;33.07046767;3.171231735;11.48839759;-17.8948547;1.59717813;-15.28329875;-16.22098732;6.194671314
4.633256436;-19.45217297;-6.378557083;-11.71172408;-7.727931258;45.78322037;24.68490835;-2.479514356;-15.12933338;-6.598888134;17.93657557
-3.857310509;8.908209876;-2.986382275;20.9813011;4.189165041;-7.140033579;-14.47225628;-7.484747812;-31.39079046;13.0906774;4.98903716
1.161103863;3.173878981;9.759557241;-14.35131507;10.1654238;34.58805645;7.453870402;4.638756917;-4.479354973;-41.89176069;-1.696586593
-15.36377925;-0.930882449;7.123460839;-20.61346005;3.094793001;10.47984037;21.56277182;4.099255627;33.45120644;11.60703199;-10.58279064
6.769698666;-0.559571087;-3.187698265;6.485597494;-4.771191204;2.349361796;-42.02399582;8.664598712;-40.46113822;-12.02786317;31.89476441
-2.773661436;10.31839805;6.691745749;-21.37468169;1.317761;-24.69969387;22.51153699;10.27505502;11.3461737;7.094604343;0.977503512
-3.193629739;13.9424302;11.42183557;-11.74767978;4.164225593;5.805235398;20.95260448;-6.640821053;54.65451707;25.24623431;11.68689224
-6.057662466;24.36350125;11.3668405;-2.060797964;5.816361569;28.14471317;-13.96978989;-0.449665609;-31.27225158;8.833772364;23.18704713
1.624367715;39.32437288;26.66484602;30.23307247;10.81769035;-24.64734871;14.97481561;17.47444765;17.0301058;-27.10904603;-1.133257197
2.021227141;-46.32746964;-13.00312104;-2.305481887;8.815010395;-15.83400615;-1.940530263;6.408681813;-18.12831768;-2.446490807;10.95958965
-11.03800238;24.78380176;-3.590539279;-22.59144166;-7.059006725;3.085020602;15.82127121;7.702837922;7.148116308;21.10992559;7.277554484
6.577743291;-15.47332327;0.863889012;12.44455611;-5.005041839;5.233873127;6.389143995;4.773400312;-49.97606163;17.46007726;3.464746744
-3.686662042;18.9365484;5.22195521;-5.572229414;5.174569284;-15.70260375;41.27770364;-1.708568586;22.04420941;-15.13898757;10.5343903
0;30.03484657;11.41189898;-10.97072321;3.991319744;-4.268072931;14.30988007;6.506870171;20.69719885;3.456574558;-4.480810789
